subsys4	subsys1	subsys2	subsys3	rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	1.81799149556263	1.9305543917718	1.43271467919248	-0.812928474069061	2.43331794420146	-8.17479831428618	2.57432461790153	0.249307887733013	8.53372092034353	-0.255017263243485	-8.71302158373891	2.10493652777216	0.358600000512305	0.109438973841949	0.643255925101091	0.314316254952478	0.776990092467047
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-6.26844641064638	-6.74789715080894	-5.4574053538845	1.7004929435853	4.89866951631329	-6.57823296079413	10.7226346749032	0.656667502948398	11.6036027542835	0.344111890283663	-2.38420929992343	6.01009327639271	0.352729454646499	0.23248860307162	0.711798652820136	0.332178895407998	0.747668718848091
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	6.5972911111059	6.70774400884581	6.40734818814645	-0.266547613104014	0.873257966855586	-1.60144289040142	0.967970068728323	0.0756042625893999	1.90330815492801	-0.313512276720718	-8.37403462449089	3.20419995097442	0.362127574982298	0.177873241886305	0.696868554090381	0.333748067721752	0.78272177654828
(GlcNAc)2 ABC transporter, ATP-binding component 1	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-5.23410597582978	-4.45744546453809	-6.20123010791492	-2.06191472827198	5.7415154875031	-13.1785082381852	6.91169266894916	0.83189263666141	12.8837296560027	-0.346813986562478	-5.81975117546183	2.35114066827098	0.344800000572492	0.199720350000617	0.699264094530892	0.28848707484466	0.742139904129917
(GlcNAc)2 ABC transporter, ATP-binding component 2	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-2.89559083084026	-2.50902312772506	-5.84923486991545	-2.33914659195531	4.12294585023426	-8.98865989438717	5.24241441826623	0.390261870180741	9.96697622944528	-0.512262993923277	-8.47979325344084	2.41592007530497	0.328934213802925	0.13558394396032	0.652421918166799	0.217720074043603	0.716709393268413
(GlcNAc)2 ABC transporter, periplasmic substrate-binding protein	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-4.60241519270873	-4.0298973592854	-5.24447842148223	-0.879099233998586	7.35805612324996	-14.9097781770511	12.285702138667	1.01814994866483	17.9612102845327	-0.112729029915967	-4.22524498241316	3.59089454507095	0.453400000156695	0.612330452823468	0.88272926142897	0.746528491632207	0.913227896331467
(GlcNAc)2 ABC transporter, permease component 1	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-4.47086091246244	-4.97777551986249	-4.08129921516271	0.46083751312579	4.44902588646408	-8.45429217192048	8.07740932883544	0.674172191315051	10.6535476111818	0.0978580279513761	-3.66489911434866	4.05690306634081	0.4557088583771	0.765090029906432	0.933061681375492	0.753347647708329	0.91559529184597
(GlcNAc)2 ABC transporter, permease component 2	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-7.38076003809555	-7.22030652778022	-7.52941980988921	-0.545387323794694	4.60113071309697	-12.380894656398	6.70100125067368	0.568065645025808	13.0905132277108	-0.102696423535359	-7.01077176730873	3.20470448700616	0.438400000208498	0.414845986177253	0.803589204438698	0.564559916863323	0.842965059770361
(Pyruvate) Oxoisovalerate Dehydrogenase Alpha & Beta Fusion like	Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	-7.64922209895901	-7.42969735333043	-7.8707254966887	-0.4953079453388	3.13072961879758	-6.98416203199308	5.2715734918801	0.540494928645116	8.08357373209348	-0.149985749128405	-4.46050780723465	2.90487528765742	0.430400000236584	0.462365834224019	0.811112601618013	0.50156742947455	0.812516015144459
(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)	Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	-3.13481085763697	-2.65438857585664	-3.783258369123	-1.44547470729013	4.94367920202421	-12.3138212263973	6.80594879987568	0.769654314720527	14.2102815105324	-0.254107534947863	-5.12058007801246	2.52245462791231	0.385400000403181	0.336754625127084	0.782492362958369	0.397580830933772	0.798662776375447
