subsys4	subsys1	subsys2	subsys3	rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Predicted L-arabinose isomerase (EC 5.3.1.4)	Carbohydrates	Monosaccharides	L-Arabinose_utilization	-1.1590446822198	0.945609901541594	-2.74619683658199	-3.90450991902822	2.75064566420409	-11.6353992936508	0.57041352931091	0.395612093486408	9.90392401271895	-1.31982289408547	-11.8239818653842	0.228512647795452	0.057812912889381	0.00089391603699269	0.527346354963196	0.000317564111585009	0.365863443322124
Predicted galactoside ABC transporter, permease protein 2	Carbohydrates	Di- and oligosaccharides	Lactose_and_Galactose_Uptake_and_Utilization	-4.62956692648791	-2.14254092224317	-7.69622868404799	-5.44072302963924	4.17162768392637	-15.7595929362836	1.52352191275774	0.728261882535228	13.6104417175236	-1.18669360981847	-10.3635791640188	0.494598789643663	0.0702031419651695	0.00134355878907648	0.526882945238952	0.000492879798220355	0.366418766077807
2,4-diketo-3-deoxy-L-fuconate hydrolase	Carbohydrates	Monosaccharides	L-fucose_utilization_temp	-3.4976727067756	-2.33763159847962	-6.67479208642971	-4.28331222377224	3.43066668831367	-10.2632289207474	3.06136522464085	0.511181368032841	9.10039016219101	-1.15289271306775	-10.4248368401023	1.31178838865239	0.123437677012135	0.00382895709055356	0.533537499992313	0.00462095953582022	0.385310138274311
Maltodextrin phosphorylase (EC 2.4.1.1)	Carbohydrates	Polysaccharides	Glycogen_metabolism	6.75077336905527	7.2747845334573	6.05224750675611	-1.05463039527722	0.96198390348038	-2.97386277910657	0.275699548882662	0.0973924601438911	2.15592344063209	-1.06757445495604	-12.8608213589298	0.362678330218759	0.104687714519111	0.00148542142104086	0.532905841448077	0.0018105805765442	0.379071722710276
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	1.63758800848701	2.41254550799969	-0.448543186864683	-2.76910257070773	2.48398883404622	-8.68776573442279	1.26822816383285	0.279831602794386	7.96290078046215	-1.01680142576646	-12.1962185294082	0.595664019359597	0.118564927650532	0.00547624430680755	0.533007333999895	0.00375918102795038	0.380735748033365
Ethanolamine two-component response regulator	Carbohydrates	Sugar alcohols	Ethanolamine_utilization	4.3508964939258	4.56999866786515	3.2216351630323	-1.301083065348	1.171841810415	-2.96488514829733	1.2059951420528	0.0928180428451028	2.68983021704155	-0.990170754237647	-14.68598225137	1.33522751239163	0.137500155468609	0.00526069660999352	0.532994039898484	0.00489564614951612	0.383253645326095
Beta-mannosidase Man2	Carbohydrates	Monosaccharides	Mannose_Metabolism	-0.514899018717941	0.323129671588857	-0.954706550562102	-1.39222499801557	1.38086446086579	-5.98703746163859	0.796434791082802	0.158642927745089	4.57400356906737	-0.982573749793145	-14.6345345449154	0.736840974006209	0.124805166364412	0.00784916160777898	0.53366388759656	0.00392510933339107	0.381818540782399
Predicted glycosylase, COG2152	Carbohydrates	Monosaccharides	Mannose_Metabolism	-2.08508901066387	-1.03592869667011	-5.02930316544515	-4.21859197229125	3.93270944599437	-11.9697548660011	1.72229321203089	0.462969122150022	10.4264605119394	-0.977446591102988	-12.1437902270957	0.516083183327797	0.120124987225143	0.00414701241787234	0.532924496287654	0.0031320024789452	0.380457464049064
High-affinity gluconate transporter GntT	Carbohydrates	Monosaccharides	D-gluconate_and_ketogluconates_metabolism	-2.22790819507991	-4.15516967599971	-0.066623338669185	4.60473598980691	4.69072486952456	-5.27637824188404	13.8562871105815	0.589798325656079	12.3572479033503	0.929477870655464	-1.2758932514253	8.84790827214596	0.157812630951653	0.00940243644291466	0.533935996666679	0.0101696629608781	0.406415445626257
Predicted rhamnogalacturonide-specific TRAP-type transporter, large transmembrane component RhiC	Carbohydrates	Monosaccharides	L-rhamnose_utilization	3.64330104335617	2.6305289448022	4.02238828734416	1.52042333745172	1.63998968061955	-0.920301437863826	5.76665669687369	0.106181721148622	4.70020240790223	0.904554941971696	-0.871318515837774	20.3635117356253	0.12812516931875	0.00573651197764858	0.532905841448077	0.00459998592738531	0.382370088474285
