subsys4	subsys1	subsys2	subsys3	rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
polyhydroxyalkanoate granule-associated protein PhaI	Fatty Acids, Lipids, and Isoprenoids	NA	Polyhydroxybutyrate_metabolism	0.703435141518952	0.231225947755354	2.1963191797379	1.87832885719422	2.40896421749312	-3.12508758149449	6.08497397441571	0.321922237920999	6.24345453785751	0.70665352831139	-1.88179355735684	7.6142898406535	0.213728635516292	0.0408848486389835	0.557275558624101	0.035472799259564	0.491540965723158
FIG143263: Glycosyl transferase	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-4.63753294320261	-2.70354266627894	-6.53378384715489	-3.23095740161615	4.6302701941877	-13.329701955214	7.5384905522604	0.632411421473807	13.8186223883313	-0.669719391602987	-7.32265439668705	2.72938337412464	0.188767653753368	0.0796955386567716	0.582675971957194	0.0207823933999437	0.454835029367976
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	6.22309494504352	6.61542141999848	5.85177473730401	-0.614039837438143	0.896321956352169	-1.83289310702258	1.17725950889551	0.108443552766506	1.96034541548886	-0.655958589159856	-8.1605710842518	1.96425111682983	0.265625061111446	0.0711040908458801	0.58186208760134	0.081668355831475	0.558478901521198
Squalene--hopene cyclase (EC 5.4.99.17)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	3.08014302354861	3.3935769304282	2.68616460445026	-0.789623057741053	1.3998594529971	-4.18769058913991	1.40070033331168	0.119410451691419	3.9805754116933	-0.591212435261361	-12.025792878877	2.28115122080253	0.228125078532119	0.0442086679494663	0.558004626569629	0.0422377182608413	0.50081860632677
CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	-4.63672724960113	-6.11071788088057	-1.40280376771756	4.00844951133348	6.25891023931175	-8.4423601010304	14.7970521918206	1.09363261061385	15.9943328961679	0.585711589092712	-2.1794926087469	5.65998689357207	0.263650607750088	0.117530445345198	0.613970132704626	0.0992377277327935	0.570452911277258
Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	1.59055737984792	1.3947670631531	1.86180552124501	1.16404682187122	1.84118210795338	-2.2476931303486	4.41274850687473	0.171883639622031	4.22277590840234	0.56959303491854	-2.47639487648274	6.25491378266416	0.288611596665664	0.0884992573464099	0.59919284546437	0.120522472883154	0.599789326706549
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-7.86536623963748	-8.890432485482	-6.25213844188505	3.67981160746025	5.9870475314515	-7.74578260200922	14.3650067646423	0.937886514489546	15.151500298139	0.54534116300551	-1.90524399764394	6.4900489349721	0.290625051655215	0.152250586600789	0.630327903548009	0.191229496606335	0.628859561798638
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	7.81253184305481	7.89310212893666	7.54905249362326	-0.387439516552631	0.721160872821444	-1.51781209151563	0.931406357106532	0.0768658611178169	1.66321869191633	-0.526455055398239	-7.62686343609153	2.24130681191152	0.315132648735494	0.128954314155272	0.629448293812333	0.15213105393059	0.629509723670512
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	-4.04757445757221	-6.7625737484628	-1.53625121871744	3.59241265526544	6.61874699208965	-8.53255964441051	16.5216762988251	1.13803697375526	15.4959659607743	0.525813935679206	-1.78552403649669	4.66415735913073	0.262500062397957	0.108050022143216	0.606960594155572	0.0938609571543008	0.562235824005413
Triacylglycerol lipase (EC 3.1.1.3)	Fatty Acids, Lipids, and Isoprenoids	Triacylglycerols	Triacylglycerol_metabolism	2.43959575891391	3.18437918395938	0.00609496188600289	-2.66737530975063	5.17759363770372	-10.6815165755686	6.64329138553162	0.444821256430134	12.4893659727116	-0.519483580979636	-9.61535359246663	2.66721325620903	0.29797196784607	0.080383436614184	0.592877590364518	0.140830084679253	0.619790494637778
