subsys4	subsys1	subsys2	subsys3	rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	-0.356764284587276	-0.315049888345698	-0.377796323596174	-1.50139276984368	4.49295615003637	-14.1286095476826	3.08283668013731	0.365113667407737	15.0070724836994	-0.288996579972956	-11.7853717585342	2.01086555683327	0.368800000469672	0.0996991536583764	0.608981616368062	0.354959070341423	0.767080181380994
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-7.78077186670869	-8.67139516108682	-6.21021042855913	3.49131293213296	6.12433953398622	-7.99379639696396	14.4115051122103	0.910604769267103	15.614255909423	0.514519804434619	-2.32764570228029	5.8282274091552	0.299200000798044	0.157509708741458	0.633496735641017	0.201215365130226	0.633652940806354
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	7.18145189633154	7.28901417248533	6.88005999183314	-0.340905773148159	1.04119174424852	-2.09041823476249	1.39475357524072	0.0895403077930452	1.96236594724433	-0.29277723523483	-6.96788087351495	2.9956356710726	0.384123175772943	0.275361343821455	0.717880775658803	0.411915185433761	0.792928869844957
(GlcNAc)2 ABC transporter, ATP-binding component 1	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-5.94082923674382	-5.27550661254775	-7.29280541332352	-2.77437435131991	6.76714081023438	-15.5160632818812	9.02065579828405	1.04936876545117	16.6478244902521	-0.39484512800091	-5.38654202298389	2.25903297036072	0.340600000591444	0.212554076437799	0.67312403232461	0.266422189265843	0.700815064828111
(GlcNAc)2 ABC transporter, ATP-binding component 2	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-3.76972606734514	-3.46815812239462	-4.55459045135763	-1.13788960338849	3.65335729662651	-8.97400586183346	5.18346675106059	0.530150114074101	9.88960428724474	-0.285989035714072	-5.98825491219691	2.64666046129656	0.376400000438815	0.263990002966622	0.707571163089815	0.385743900062786	0.776080057279286
(GlcNAc)2 ABC transporter, periplasmic substrate-binding protein	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-6.64200631800074	-6.92909232820943	-6.07678734098438	0.001629687628391	7.05192850944429	-14.3268260915198	11.2185470092812	1.01814556838015	17.0132387817709	0.000300016704944544	-4.68571401744284	3.37988954839456	0.499900019996334	0.678939004495204	0.897514515494394	0.772534369655113	0.928673317657552
(GlcNAc)2 ABC transporter, permease component 1	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-6.21664189977759	-6.59652817118782	-5.46272027315229	0.189204288314061	5.9029042693609	-11.7429460652938	11.207823444773	1.01416661942022	15.6542821007819	0.0310089731484959	-3.75032592432273	3.7045675019165	0.484303139424479	0.69529923148857	0.904232669976881	0.782151713611466	0.932266809356077
(GlcNAc)2 ABC transporter, permease component 2	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-8.36731974162082	-7.84436728842499	-8.95946292619347	-1.47198614806216	5.15251959550964	-12.4013531604869	7.46436580549754	0.790211582408187	14.1132994929829	-0.275280062177114	-5.78538796676784	2.61388293773891	0.371600000458218	0.318580847778013	0.721523518945453	0.41509895213146	0.754947879465786
(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)	Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	-2.75417426931661	-1.79990792732448	-3.2319716806334	-0.916055114657308	4.70002414344805	-10.5935648632277	6.79636387331137	0.472754776568929	13.2433600794617	-0.173606237026576	-6.05563977807905	3.61674757996928	0.422200000265768	0.548174689535129	0.854623315589388	0.615811459438395	0.876151207222708
(R)-citramalate synthase (EC 2.3.1.182)	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	5.16411686298644	5.55681782526185	4.65410706759734	-0.750175318198222	1.76222824669435	-3.8818276595968	3.30636783451581	0.099275909430425	4.52221585374901	-0.349929044642376	-9.42570255078491	2.97700862371041	0.321135773528865	0.299482300653702	0.7310857432557	0.188286951438654	0.660057319278245
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	2.17296786808449	2.13178140284731	2.17296786808449	-0.379206384681444	2.43568397239195	-8.76209543735319	3.59702990755865	0.246824003397296	8.99702113520568	-0.116773637740797	-7.44663529836536	3.41725282906249	0.442911417909188	0.448499939626502	0.814581291986187	0.689799714217671	0.904726679112476
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Archaeal_lipids	0.808608830344554	0.854848313019493	-0.170240678056013	-1.78621090822068	5.43523435851968	-15.4206790320835	4.93524676598899	0.705187913947714	16.6571370978279	-0.299630416569914	-8.18511289334735	2.32836010863226	0.383723255758515	0.143335585620189	0.64098335625871	0.400728550087683	0.788147265439994
(S)-3-O-geranylgeranylglyceryl phosphate synthase	Clustering-based subsystems	NA	CBSS-393121.3.peg.1913	-8.9766344491131	-9.11634183845174	-8.81569535255595	0.39426514559598	6.01535130855829	-11.8131683652747	11.1898386371966	0.998539757327641	15.7245072025709	0.0596584987164325	-3.87353620741038	4.06897069722857	0.469600000101709	0.605052654456428	0.865300859429723	0.58824740739137	0.849692487215799
[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASI	1.45682384189062	2.3515676825724	1.45682384189062	1.04642998446942	5.50992616365961	-6.37560220818625	10.5425791459962	0.420075687585585	9.42181523850717	0.17811110743075	-5.08113462794197	6.47121434451397	0.431713657500401	0.694049175335295	0.915478242309896	0.640246725410812	0.887208482531844
[Fe] hydrogenase, HymA subunit, putative	Respiration	Electron donating reactions	Hydrogenases	-2.44166581248284	-4.14187891358489	-0.739436190875649	3.25549810468483	2.14725876083167	-0.687995533751933	7.5673616849092	0.305481057074431	5.69318336159709	1.43332670686296	-0.302783965571966	11.6109083916186	0.0561887692187662	0.000288365400161773	0.446843792463148	0.00040163242330425	0.285575609191296
[Fe] hydrogenase, HymB subunit, putative	Respiration	Electron donating reactions	Hydrogenases	-9.34740619211001	-9.06784016038662	-9.60750746756021	-0.691942925934326	5.12486506284658	-11.8814910967898	9.33204622043065	0.828167068030266	14.6243383450947	-0.118361283471748	-5.11863677687978	3.2712568413651	0.438712257755816	0.489769449802378	0.808411542970012	0.523630052609929	0.814189759025738
[Fe] hydrogenase, HymD subunit, putative	Respiration	Electron donating reactions	Hydrogenases	-8.46963497844605	-7.55769276695248	-9.1812015399711	-1.72226838150869	5.90895828506555	-12.7036383301063	10.8527717543343	0.964957834332053	15.7111159667543	-0.264708542090015	-4.71847005208056	3.14430167010364	0.383323335744089	0.451952634958095	0.794147593632911	0.442852811275412	0.779622034548559
