subsys4	subsys1	subsys2	subsys3	rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Predicted L-arabinose isomerase (EC 5.3.1.4)	Carbohydrates	Monosaccharides	L-Arabinose_utilization	-1.89033279109549	-0.124974081301721	-4.69045490037383	-4.79964978777089	3.41229172985029	-14.9197820217732	0.883121794176303	0.430161093466834	11.8416939690811	-1.3360631503299	-13.7230756311742	0.235190797548457	0.0531254518336144	0.00121408341676381	0.477828103850887	0.000312151567472775	0.293619132235025
Maltodextrin phosphorylase (EC 2.4.1.1)	Carbohydrates	Polysaccharides	Glycogen_metabolism	6.38705501651142	7.06388433366239	5.78128071505024	-1.28545445004235	1.18613361518747	-3.84835668191981	0.451893124443626	0.205488030446375	2.74897194680087	-1.07429127697001	-8.25563889039681	0.426206266843489	0.0982841611864446	0.00154510112963186	0.52429968149364	0.00137377135248652	0.36726908059898
Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	Carbohydrates	Monosaccharides	D-ribose_utilization	3.3674239478001	2.86942858566191	4.19151652572544	1.31082721407018	1.19555738274586	-0.736962655750292	4.09256454436978	0.104776892109559	3.18132716979051	1.01900714674552	-0.551988904587909	13.9770138823551	0.109204571865208	0.00367469388951289	0.528372331760459	0.00244393280867739	0.39711083164421
Aldose 1-epimerase family protein YeaD	Carbohydrates	NA	Unknown_carbohydrate_utilization_(_cluster_Ydj_)	-4.06497942402538	-7.25572727576404	-1.00362772875302	5.7343863496761	5.57198575191689	-3.14022673885098	16.3273220924374	0.854445868591582	14.1444914738952	0.990138062813733	-0.655564433467123	8.18141868840313	0.132605466167579	0.00354820252428091	0.525921258776911	0.00419505997098876	0.414376592291436
Uncharacterized HTH-type transcriptional regulator YegW	Carbohydrates	NA	Unknown_carbohydrate_utilization_(_cluster_Yeg_)	-2.73275076952324	-3.78195081703316	-1.9711666313073	2.48150599898499	2.44515706802489	-1.46129068296597	8.00751945697514	0.346817328966491	6.2714602776999	0.969168059302306	-0.739767885048473	9.44083952174687	0.132605466167579	0.00468502785280083	0.527593824046334	0.00551622816038451	0.407144032027303
6-phospho-beta-glucosidase BglT (EC 3. 2.1.86)	Carbohydrates	NA	Sugar_utilization_in_Thermotogales	-3.54727711658441	-2.81948677219305	-5.94123688546332	-3.15436032821492	2.96508954699793	-9.40058582997106	2.02965401452479	0.381330540811163	9.31565921878258	-0.963918266848834	-10.6818881149912	0.917284945409184	0.170046920413851	0.0103064294814199	0.533024735801718	0.0104851973684211	0.431236435327013
2,4-diketo-3-deoxy-L-fuconate hydrolase	Carbohydrates	Monosaccharides	L-fucose_utilization_temp	-5.44438843162889	-3.58061999841181	-8.46649059300698	-4.60808843506423	4.38527563852312	-14.3565816343367	4.59754363984436	0.592078843127489	14.3099626737786	-0.954629974250559	-9.46920717736087	1.14577941190978	0.151326190701469	0.0157563445856176	0.536139148806075	0.00718210775292819	0.41260206913036
Beta-N-acetylhexosaminidase, (GlcNAc)2 catabolism	Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	-3.02870966553716	-2.32115662876159	-7.57037020060352	-5.17453441647829	4.62623670196527	-15.7436114808004	1.9516417970828	0.62831514311971	15.1048984160794	-0.954085114541464	-11.756562647285	0.650780067921736	0.140405767293645	0.00701161420435723	0.530218989012191	0.00711758007859014	0.422033906113504
High-affinity gluconate transporter GntT	Carbohydrates	Monosaccharides	D-gluconate_and_ketogluconates_metabolism	-2.68746458335542	-5.02270060761046	-0.448876952516063	4.79455782540724	4.70934733662632	-4.60260770890611	14.3861441015953	0.721195484915062	12.2315767064751	0.94547645868333	-1.75527319605596	8.0258941527947	0.156006372717387	0.00865607983468852	0.531110636726004	0.00750855181969733	0.424013518536018
6-phospho-beta-galactosidase (EC 3.2.1.85)	Carbohydrates	Di- and oligosaccharides	Lactose_and_Galactose_Uptake_and_Utilization	4.42882333860087	5.2022352549846	3.65256394616942	-1.58701876258794	1.70857997212259	-4.64928141616491	1.40245886356974	0.139762064424834	3.36096017162901	-0.94128378741188	-10.7486469863244	1.32367234239006	0.15312513605187	0.00574818054461279	0.528640344102999	0.00893069778518695	0.42420684920252
DHA-specific IIA component	Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	2.23360312586747	1.77185513796122	3.20460206805746	1.15692722146607	1.27467465260796	-0.818173140766885	3.25448051857554	0.129030016608136	2.39324416558617	0.93337147147113	-1.20232130318829	12.1245701142161	0.180967347827393	0.00507638111723992	0.528558000962692	0.0134618429171448	0.440392840282326
