subsys4	subsys1	subsys2	subsys3	rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	-5.8622963392875	-7.50631541276817	-2.60629782455423	4.32077666929363	5.72142791569383	-7.63117854982941	14.0744710938619	1.01628943964489	14.4243753158888	0.707561511666407	-2.16189208175877	6.08579465245659	0.23556949723237	0.0686241196973048	0.588175547239319	0.065522567602676	0.540874818454143
Squalene--hopene cyclase (EC 5.4.99.17)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	3.34641890558925	3.8328033471978	3.07652276127765	-0.822779358568756	1.18911733223508	-4.75019191218549	1.09742905796441	0.112395465852001	4.26630526003108	-0.629185308442088	-11.8049391417212	0.989934650584225	0.21216857404983	0.0257100103623123	0.547335711785568	0.0222638236376626	0.466661074333929
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	6.3140630212716	6.63490711064215	5.85095150953734	-0.636675971725221	0.813620581174643	-1.71470236799658	1.2195220881543	0.101026073747218	1.85542486291126	-0.625866932120313	-6.81278602036718	2.44942524849668	0.268330793060183	0.0718812324769085	0.592768259866859	0.0918508735846197	0.59677920006667
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	-5.09239683724112	-6.87248402856718	-3.1386724507121	3.39300436525637	4.93711072404421	-6.86648015851262	13.0878191096779	0.721748722142649	14.1664090011305	0.607931487666029	-2.1704575788459	6.73914342661554	0.229687577706926	0.0704291405048284	0.594521061494262	0.0404473501537162	0.500870226788465
Predicted transcriptional regulator for fatty acid degradation FadP, TetR family	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_acid_degradation_regulons	-2.94359737882886	-3.78482118378173	-1.58024235567689	2.03356046501407	3.33648047863693	-2.78111980129732	11.5186814961618	0.420172510415504	11.3303208687174	0.582030696517374	-1.48924557589687	9.85304742554124	0.191887776253927	0.0372194517910368	0.560080540441399	0.025602094789885	0.470210712613271
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	8.31926001352863	8.42036127243217	8.02613585512914	-0.489670014906036	0.86169232316495	-1.63891205732349	1.1091111223118	0.0754569122472104	2.02482367602704	-0.565270656472317	-8.69307078038307	2.4450676340885	0.262500062397957	0.106899019769895	0.640193481265431	0.0840858179166035	0.587543136815342
FIG143263: Glycosyl transferase	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-4.31449534083031	-2.22010052150777	-5.47093418837507	-3.12469453756762	4.4914116628581	-12.3480875256338	7.7168996009201	0.632081697586588	13.6199923568722	-0.556525520948621	-8.98138415340117	2.62849716740546	0.241809743792111	0.120738867194826	0.633691429468602	0.0625189439043928	0.549416548616923
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	7.66518029121155	7.8286655799906	7.3874468908248	-0.421965493568377	0.734074484108857	-1.56248184143642	1.04678167063096	0.101693273300708	1.93971298944399	-0.542144899646437	-5.85643043585506	2.18671808480856	0.281250055039672	0.137475157017144	0.667877834252956	0.0941940823302085	0.600207671690771
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_acid_degradation_regulons	4.82601877582156	5.38518976690668	4.09653318372882	-1.29539937339569	2.08603884665263	-7.60771961510211	1.20784566587011	0.140624437338241	7.81878135158205	-0.5409323947657	-16.8139382639547	1.64898504347075	0.241809743792111	0.0363506807467303	0.561987574991651	0.0466237395537899	0.530284925514857
Phytoene dehydrogenase and related proteins	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	-2.74610186318616	-2.29634361287762	-3.21116805237286	-2.13828881228189	3.65148872960695	-12.8952230882531	2.21555053469545	0.397081744122833	12.5542561817442	-0.526461646415873	-9.97608535615028	0.991352010370863	0.249610052180681	0.0380764903137856	0.559706102207722	0.0732806884485484	0.567979273485345
Acyclic terpenes utilization regulator AtuR, TetR family	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Acyclic_terpenes_utilization	2.74081695328869	2.31418753171857	2.9222233692944	0.706339779496937	1.18524652957169	-1.58167367100199	2.78990836217242	0.120358949732734	3.28127211274436	0.521331313985639	-2.0915026318136	8.01204254965769	0.248049990487059	0.0887878188838697	0.61512980316401	0.0615079821494295	0.554598245263453
Beta-carotene ketolase (EC 1.14.-.-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	-3.14574674641299	-2.82267324817311	-4.18084865605984	-1.57620578807182	2.64814842347403	-7.57960102276113	3.23630739001818	0.364127527228428	8.3615398529536	-0.508650196285069	-8.13585913462228	2.52598563861956	0.245312569971116	0.0654667212679095	0.587976361175067	0.0678448027398298	0.554879641762687
Triacylglycerol lipase (EC 3.1.1.3)	Fatty Acids, Lipids, and Isoprenoids	Triacylglycerols	Triacylglycerol_metabolism	1.87173733729183	2.40244213955088	-1.72865608290043	-2.79418440676973	7.75082870990762	-15.0721485578263	9.76808640999443	0.595620127165102	16.7192724945847	-0.48715346632177	-11.9302099927696	2.78545420527303	0.322932958378304	0.0758160772692279	0.598110281602187	0.202910020513542	0.718063722135374
Hydroxyneurosporene methyltransferase (EC 2.1.1.-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	0.0549414941185624	1.2634138753805	-1.16583255383298	-1.46335230693906	3.15202239122938	-5.56150454859213	5.17565522808536	0.298748000763685	6.991915752707	-0.462199811116423	-6.29827783022946	3.68814384804457	0.322932958378304	0.222309777278993	0.723108067321985	0.171530542309857	0.691455401975567
Poly(3-hydroxyalkanoate) depolymerase	Fatty Acids, Lipids, and Isoprenoids	NA	Polyhydroxybutyrate_metabolism	-7.42040507881346	-6.83531546740297	-7.96443898379433	-1.57385126060699	3.44007766574792	-8.11665727116893	4.6420311381349	0.661405026768618	8.68891912802378	-0.439703941641935	-6.2997761447692	2.13648663679728	0.303125047403692	0.229815770954789	0.690536952857923	0.303391533969127	0.69890119781119
FIG027190: Putative transmembrane protein	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-0.620497406502322	-0.0332318091949357	-1.76341339771738	-1.3159158290958	2.74749516323211	-5.86309232705255	4.89269947162228	0.360774061417872	6.93911478825281	-0.437045071955673	-5.30253961281714	3.10457349388662	0.309375045378548	0.239010276225123	0.73221126309126	0.177464128363896	0.693397995495449
Phosphate:acyl-ACP acyltransferase PlsX	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	7.82727665566803	7.92798221453052	7.54547538165481	-0.387484675780702	0.770372971303212	-1.48490271719681	1.37879701427717	0.0409399197981473	2.03645412700671	-0.432923120751207	-9.15850822995294	3.62774810722865	0.32917320615172	0.358193212235368	0.798664224856338	0.217562623135379	0.73343096565138
Digeranylgeranylglycerophospholipid reductase	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Archaeal_lipids	2.16046326881488	2.53569944868146	1.45577641288063	-1.34344947205874	2.6889108786986	-6.42218689520742	3.20762339816743	0.219121876725969	6.48075033251735	-0.427777000353107	-7.25101099465651	2.01410551039601	0.332812538296103	0.121028454869872	0.654016850008552	0.195392588738661	0.713941044012107
D-beta-hydroxybutyrate permease	Fatty Acids, Lipids, and Isoprenoids	NA	Polyhydroxybutyrate_metabolism	5.15561458264934	5.09308492595688	5.56188994207516	0.559521245007131	1.24004294754026	-2.59901710547714	2.86071619119244	0.120475533206629	3.7657145505566	0.422853103113831	-3.16048359142	6.31374520424145	0.292187551108132	0.253868477344134	0.744461629603676	0.137285544853753	0.652544701730859
Carotenoid cis-trans isomerase (EC 5.2.-.-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	0.251445454306772	0.950106495462423	-1.66829784049534	-2.07514078690909	4.22393411463195	-10.794594351096	4.64094998147474	0.663238252903041	11.8077608810396	-0.421916659110902	-7.30563071117386	1.81472672791745	0.33385339201401	0.109657826349426	0.642280489814184	0.218908401486285	0.733189753880686
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	4.64324316346801	4.89017550736583	4.50709498097517	-0.335941418579057	0.797557356087792	-1.60379557558916	1.36633922841763	0.110205072872885	1.73682560858752	-0.419523870786829	-5.61300266411397	3.14729085348684	0.327613144203657	0.2166317715131	0.720083456265849	0.202985288705103	0.720106829487043
FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	0.403556194257471	0.814262950558726	-1.1700120211205	-1.38689295879901	3.10944157576533	-5.47063889022241	5.3825663166727	0.327989874907875	6.70470765817923	-0.414661461740267	-6.1347060631907	3.00988290104459	0.322932958378304	0.239585002633194	0.733280327198394	0.231936987161445	0.736003631474753
FIG021862: membrane protein, exporter	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	2.53214300713683	2.96326701565985	0.989285025465332	-1.06918782371782	2.85586456578379	-5.06635361999164	5.41739532997563	0.270460354040602	6.4501817163843	-0.413326904426331	-6.70948897826752	4.48175200164254	0.343750035229488	0.300431007088048	0.770769759086139	0.242726217281171	0.746626303806602
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	-0.302706106280022	0.0270742104205315	-0.8940912416552	-1.37001692435369	3.31333443973473	-9.2109806317318	3.68194438790121	0.381462654800941	9.73019226540861	-0.402479738238494	-7.09118860294072	1.75469619128627	0.32917320615172	0.136144852214529	0.665916649610477	0.188696256819806	0.707129206336808
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	5.6069253964475	5.649427277187	5.21553972367398	-0.423465632962102	0.725943290988902	-1.36224115651856	1.53342116420749	0.0682824640660141	2.46740646763331	-0.401152286429099	-8.37662821873271	5.85134795353835	0.336973515936782	0.603964690946913	0.883009543022734	0.259460873395181	0.756025374593223
Lysophospholipid acyltransferase	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-0.0787680122779175	0.543568365720022	-1.28888011116825	-1.18070458795867	2.62232465858326	-5.22758139272967	4.76739289380936	0.349540792004865	6.32821324645968	-0.39575490591913	-6.17599623247064	3.40348016096505	0.315625043414496	0.252515008799111	0.74191144088006	0.200189455958129	0.713882325246507
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	8.99266849699299	9.08913329447926	8.73888741752663	-0.327097534284764	0.739389095328837	-1.35981129918902	1.32168002317781	0.0295728343912802	1.87884734253655	-0.395531909725593	-9.11393556127047	4.25242045334209	0.335413453973971	0.462857851069599	0.835211026573878	0.259247331615753	0.756921254448592
L-carnitine/gamma-butyrobetaine antiporter	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	-2.27978655851032	-2.81464133584024	-1.0622658024821	2.05099504059703	4.36236540551872	-9.29521715966416	11.7286018716427	0.564773249264354	15.1439006215333	0.394705176027711	-3.04992289045477	6.2956579753243	0.290625051655215	0.198007311065725	0.694614732203204	0.135344894076512	0.645953362656121
Octaprenyl-diphosphate synthase (EC 2.5.1.-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Polyprenyl_Diphosphate_Biosynthesis	6.84664521288933	6.92242793381135	6.58672738583719	-0.308745219979706	0.730442460354356	-1.46743331536528	0.996592809744323	0.0419557268478552	2.06167591184328	-0.380653077535817	-9.27740211184237	4.61072466413663	0.383775375932683	0.359843971277497	0.799204971478039	0.407589350954773	0.798621915396783
Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	4.22320923871818	4.38422294547932	3.89141702311354	-0.632277637092084	1.38917431044544	-3.55403589727824	2.06899496351849	0.238843862369423	3.16189970294889	-0.380482378599711	-6.05601179970677	2.40972345385115	0.343750035229488	0.218904173570715	0.721677657544849	0.233356595996882	0.742151788471722
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-6.20354003182794	-6.71043467255331	-5.40628089902838	1.83171862804189	4.9551531249367	-6.3713788902948	10.4660030747402	0.730766454228392	11.7731743995538	0.375094598894039	-1.9341072891213	4.94942517286179	0.325000040574129	0.227619071035671	0.711338847790962	0.331988710786118	0.749043187292015
Neurosporene desaturase (EC 1.-.-.-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	-7.18991662220195	-6.42285115147671	-7.72945240222692	-1.71605303439438	4.66598612418993	-11.9302286101964	5.5792873522922	0.685051134902885	12.0886506446912	-0.364227761927481	-5.67597607736343	2.27977793097369	0.342187535659353	0.20154533819226	0.691791501284146	0.302064868664617	0.727732509193249
Diacylglycerol kinase (EC 2.7.1.107)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	4.74818148648258	5.0696162093393	4.58062186255656	-0.360071203343267	0.884845494350721	-2.04612228446885	1.60183160759302	0.0856088365240545	2.70702675838226	-0.357575579690518	-8.24595592146753	3.07228908179884	0.357812531473309	0.303606896595798	0.773242263304675	0.328064954588755	0.779165476730317
Carnitine operon protein CaiE	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	-4.40319491952474	-5.63119394447683	-4.03292068055304	2.62336509456471	7.08724353521861	-10.6054232997177	15.6329627638445	0.852142252579409	16.8160796231556	0.357357524971534	-2.94721931652281	6.1216748561709	0.346875034377566	0.292234711022306	0.743942219845527	0.306404967903613	0.754359048428163
Transcriptional activatory protein CaiF	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	-5.80160598680758	-6.41742181954729	-3.34452611759384	2.46134415454203	6.84254208405827	-8.27705601882028	13.8385258386644	0.831153852971736	13.9694204195527	0.345518893516006	-2.37608893553134	5.00176811051498	0.351014073722635	0.222368239601439	0.716022186412768	0.332110154744636	0.758457069002281
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	6.59315639734554	6.71174603647304	6.3998060331024	-0.281808375534153	0.857007015125363	-1.61467903361091	0.966082301649738	0.0814748575227314	1.89304531193169	-0.344660885934269	-8.31010740091549	3.00503092093034	0.354134197702568	0.177714574004518	0.696028433504392	0.332167071028816	0.781576838320355
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	7.68009944355844	7.73961654566854	7.4868546150302	-0.294397136505463	0.827100799773536	-1.50756889291045	1.15200583020761	0.0809427837988862	1.93583019332852	-0.344219626791699	-5.38306018942725	4.39866324793262	0.356250031881158	0.359975597168904	0.799273642022597	0.279459462750871	0.765043014637954
Phosphatidylserine decarboxylase (EC 4.1.1.65)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	6.07238896219681	6.14564887249585	5.61287827192444	-0.426098029479496	0.755912062162409	-1.55361162060805	1.72831853411755	0.0764817729330126	2.61651679320073	-0.342242980162223	-6.21767094778178	5.43192556144934	0.351014073722635	0.666315916119633	0.903164751176573	0.27616948164065	0.764337874048287
Carnitine racemase (EC 5.-.-.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	-5.34383366541111	-5.88855897166344	-3.64550290216	2.46001287859186	7.18429673993725	-10.5936434764866	15.818465692072	1.37112229171584	17.9376330950888	0.336681533100242	-2.79185324461932	4.67455937384639	0.354687532291287	0.342593437993697	0.773791269365668	0.338261849412198	0.767017565750546
Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	-1.51800976523128	-1.86213281532561	-0.312781405688765	1.38735434350884	3.79383182733122	-9.83465106999607	7.83277063231482	0.481160125254963	14.6422006944707	0.332783186440587	-4.51003595806136	5.48052580400225	0.357812531473309	0.471566753854582	0.832471157530577	0.262021852470285	0.749909966654099
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	8.49682509007772	8.55589808743456	8.16280704591937	-0.31556906294009	0.876271304527664	-1.52581264637938	1.54701690619033	0.0595300270932178	2.25919447309334	-0.330244754982285	-7.42872346683244	3.00993669195004	0.331250038745601	0.399359086134834	0.813838833721163	0.226653921252896	0.736926207634108
D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	Fatty Acids, Lipids, and Isoprenoids	NA	Polyhydroxybutyrate_metabolism	4.36808150025031	4.19241684795845	5.31762500368805	0.701145105263069	1.7538597957613	-2.76494073963833	4.08757289980283	0.130589648710737	5.16966816212166	0.324210779467442	-4.20277806269535	7.61221168667574	0.386895499995569	0.350427912214367	0.795294505212849	0.395854786177445	0.796216237181835
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	7.35659385395943	7.41815772673163	7.16074663077573	-0.246824707613718	0.752634972670392	-1.43635506395154	1.36974471958436	0.049641769548728	1.97664199615182	-0.316660758395883	-8.69749782411524	5.76598694458194	0.343750035229488	0.515138360163835	0.854208355293712	0.258865324400831	0.756148465622985
Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	-1.49311545265008	-2.20645325067887	-0.518276843501731	1.57106741048912	3.81698149019304	-10.1978500131524	7.73781141419207	0.366671198599411	13.817102146198	0.315214506227355	-4.03266418855755	6.95731378961271	0.372854941766389	0.567031410278769	0.868673824890637	0.338384900219749	0.779888986627464
